SUBURB_NAME,SUBURB_NAME_ADJOINING
ACACIA RIDGE,ALGESTER
ACACIA RIDGE,COOPERS PLAINS
ACACIA RIDGE,SUNNYBANK HILLS
ACACIA RIDGE,ARCHERFIELD
ACACIA RIDGE,SUNNYBANK
ACACIA RIDGE,WILLAWONG
ALBION,ASCOT
ALBION,BOWEN HILLS
ALBION,NEWSTEAD
ALBION,CLAYFIELD
ALBION,LUTWYCHE
ALBION,WINDSOR
ALBION,WOOLOOWIN
ALBION,HAMILTON
ALDERLEY,ASHGROVE
ALDERLEY,ENOGGERA
ALDERLEY,GRANGE
ALDERLEY,NEWMARKET
ALDERLEY,STAFFORD
ALGESTER,LARAPINTA
ALGESTER,PALLARA
ALGESTER,PARKINSON
ALGESTER,SUNNYBANK HILLS
ALGESTER,ACACIA RIDGE
ALGESTER,CALAMVALE
ALGESTER,WILLAWONG
ANNERLEY,FAIRFIELD
ANNERLEY,MOOROOKA
ANNERLEY,WOOLLOONGABBA
ANNERLEY,TARRAGINDI
ANNERLEY,YEERONGPILLY
ANNERLEY,GREENSLOPES
ANNERLEY,YERONGA
ANSTEAD,BELLBOWRIE
ANSTEAD,PINJARRA HILLS
ANSTEAD,KHOLO
ANSTEAD,MOGGILL
ANSTEAD,MOUNT CROSBY
ANSTEAD,PULLENVALE
ARCHERFIELD,ROCKLEA
ARCHERFIELD,ACACIA RIDGE
ARCHERFIELD,WILLAWONG
ARCHERFIELD,COOPERS PLAINS
ASCOT,CLAYFIELD
ASCOT,HENDRA
ASCOT,HAMILTON
ASCOT,ALBION
ASCOT,EAGLE FARM
ASHGROVE,ENOGGERA
ASHGROVE,NEWMARKET
ASHGROVE,ALDERLEY
ASHGROVE,THE GAP
ASHGROVE,BARDON
ASHGROVE,RED HILL
ASPLEY,BRIDGEMAN DOWNS
ASPLEY,GEEBUNG
ASPLEY,ZILLMERE
ASPLEY,CARSELDINE
ASPLEY,CHERMSIDE
ASPLEY,CHERMSIDE WEST
ASPLEY,MCDOWALL
AUCHENFLOWER,BARDON
AUCHENFLOWER,PADDINGTON
AUCHENFLOWER,WEST END
AUCHENFLOWER,TOOWONG
AUCHENFLOWER,MILTON
BALD HILLS,BRIGHTON
BALD HILLS,BRACKEN RIDGE
BALD HILLS,BRIDGEMAN DOWNS
BALD HILLS,CARSELDINE
BALD HILLS,FITZGIBBON
BALMORAL,BULIMBA
BALMORAL,HAWTHORNE
BALMORAL,MORNINGSIDE
BANKS CREEK,LAKE MANCHESTER
BANKS CREEK,ENGLAND CREEK
BANYO,NORTHGATE
BANYO,BOONDALL
BANYO,NUDGEE
BANYO,BRISBANE AIRPORT
BANYO,VIRGINIA
BARDON,MOUNT COOT-THA
BARDON,RED HILL
BARDON,THE GAP
BARDON,ASHGROVE
BARDON,TOOWONG
BARDON,AUCHENFLOWER
