WEEK_STARTING,ZONE
2023-11-27,Zone 2
2023-12-04,Zone 1
2023-12-11,Zone 2
2023-12-18,Zone 1
2023-12-25,Zone 2
2024-01-01,Zone 1
2024-01-08,Zone 2
2024-01-15,Zone 1
2024-01-22,Zone 2
2024-01-29,Zone 1
2024-02-05,Zone 2
2024-02-12,Zone 1
2024-02-19,Zone 2
2024-02-26,Zone 1
2024-03-04,Zone 2
2024-03-11,Zone 1
2024-03-18,Zone 2
2024-03-25,Zone 1
2024-04-01,Zone 2
2024-04-08,Zone 1
2024-04-15,Zone 2
2024-04-22,Zone 1
2024-04-29,Zone 2
2024-05-06,Zone 1
2024-05-13,Zone 2
2024-05-20,Zone 1
2024-05-27,Zone 2
2024-06-03,Zone 1
2024-06-10,Zone 2
2024-06-17,Zone 1
2024-06-24,Zone 2
2024-07-01,Zone 1
2024-07-08,Zone 2
2024-07-15,Zone 1
2024-07-22,Zone 2
2024-07-29,Zone 1
2024-08-05,Zone 2
2024-08-12,Zone 1
2024-08-19,Zone 2
2024-08-26,Zone 1
2024-09-02,Zone 2
2024-09-09,Zone 1
2024-09-16,Zone 2
2024-09-23,Zone 1
2024-09-30,Zone 2
2024-10-07,Zone 1
2024-10-14,Zone 2
2024-10-21,Zone 1
2024-10-28,Zone 2
2024-11-04,Zone 1
2024-11-11,Zone 2
2024-11-18,Zone 1
2024-11-25,Zone 2
2024-12-02,Zone 1
2024-12-09,Zone 2
2024-12-16,Zone 1
2024-12-23,Zone 2
2024-12-30,Zone 1
2025-01-06,Zone 2
2025-01-13,Zone 1
2025-01-20,Zone 2
2025-01-27,Zone 1
2025-02-03,Zone 2
2025-02-10,Zone 1
2025-02-17,Zone 2
2025-02-24,Zone 1
2025-03-03,Zone 2
2025-03-10,Zone 1
2025-03-17,Zone 2
2025-03-24,Zone 1
2025-03-31,Zone 2
2025-04-07,Zone 1
2025-04-14,Zone 2
2025-04-21,Zone 1
2025-04-28,Zone 2
2025-05-05,Zone 1
2025-05-12,Zone 2
2025-05-19,Zone 1
2025-05-26,Zone 2
2025-06-02,Zone 1
2025-06-09,Zone 2
2025-06-16,Zone 1
2025-06-23,Zone 2
2025-06-30,Zone 1
2025-07-07,Zone 2
2025-07-14,Zone 1
2025-07-21,Zone 2
2025-07-28,Zone 1
2025-08-04,Zone 2
2025-08-11,Zone 1
2025-08-18,Zone 2
2025-08-25,Zone 1
2025-09-01,Zone 2
2025-09-08,Zone 1
2025-09-15,Zone 2
2025-09-22,Zone 1
2025-09-29,Zone 2
2025-10-06,Zone 1
2025-10-13,Zone 2
2025-10-20,Zone 1
2025-10-27,Zone 2
2025-11-03,Zone 1
2025-11-10,Zone 2
2025-11-17,Zone 1
2025-11-24,Zone 2
2025-12-01,Zone 1
2025-12-08,Zone 2
2025-12-15,Zone 1
2025-12-22,Zone 2
2025-12-29,Zone 1
2026-01-05,Zone 2
2026-01-12,Zone 1
2026-01-19,Zone 2
2026-01-26,Zone 1
2026-02-02,Zone 2
2026-02-09,Zone 1
2026-02-16,Zone 2
2026-02-23,Zone 1
2026-03-02,Zone 2
2026-03-09,Zone 1
2026-03-16,Zone 2
2026-03-23,Zone 1
2026-03-30,Zone 2
2026-04-06,Zone 1
2026-04-13,Zone 2
2026-04-20,Zone 1
2026-04-27,Zone 2
2026-05-04,Zone 1
2026-05-11,Zone 2
2026-05-18,Zone 1
2026-05-25,Zone 2
2026-06-01,Zone 1
2026-06-08,Zone 2
2026-06-15,Zone 1
2026-06-22,Zone 2
2026-06-29,Zone 1
2026-07-06,Zone 2
2026-07-13,Zone 1
2026-07-20,Zone 2
2026-07-27,Zone 1
2026-08-03,Zone 2
2026-08-10,Zone 1
2026-08-17,Zone 2
2026-08-24,Zone 1
2026-08-31,Zone 2
2026-09-07,Zone 1
2026-09-14,Zone 2
2026-09-21,Zone 1
2026-09-28,Zone 2
2026-10-05,Zone 1
2026-10-12,Zone 2
2026-10-19,Zone 1
2026-10-26,Zone 2
2026-11-02,Zone 1
2026-11-09,Zone 2
2026-11-16,Zone 1
2026-11-23,Zone 2
2026-11-30,Zone 1
2026-12-07,Zone 2
2026-12-14,Zone 1
2026-12-21,Zone 2
2026-12-28,Zone 1
